conv_id,fact_id,page_title,page_type,session_index,date_label,cited_dia_ids,fact,verdict,misattribution,reason,human_verdict,human_misattribution
conv-42,writing#43,Writing,topic,28,"9 November, 2022",D28:12,Joanna is working on a new project - a suspenseful thriller set in a small Midwestern town.,supported,0,"Turn [D28:12] clearly states Joanna is working on a new project, a suspenseful thriller set in a small Midwestern town.",,
conv-48,yoga#42,Yoga,topic,19,"19 August, 2023",D19:5,"The yoga event included yoga, food stalls, and live music.",supported,0,"Turn [D19:5] explicitly states the yoga event included yoga, food stalls, and live music.",,
conv-44,hiking#37,Hiking,topic,14,"4 August, 2023",D14:11,Andrew enjoys hiking and finds it refreshing to be in nature.,supported,0,Turn D14:11 explicitly states Andrew enjoys hiking and finds being in nature refreshing.,,
conv-41,community-service#52,Community service,event,27,"3 August, 2023",D27:4,Maria started volunteering at the homeless shelter after witnessing a family struggling on the streets,supported,0,Turn [D27:4] clearly states Maria started volunteering after witnessing a family struggling on the streets.,,
conv-41,travel#9,Travel,event,18,"12 June, 2023",D18:12,John has been camping plenty of times and loves how uncomplicated it is.,supported,0,Turn D18:12 clearly states John has been camping plenty of times and loves how uncomplicated it is.,,
conv-50,album#1,Album,event,8,"9 June, 2023",D8:1,"Calvin met with the creative team for his album on 9 June, 2023.",supported,0,Turn D8:1 clearly states Calvin met with the creative team for his album the day before 9 June 2023.,,
conv-47,family#4,Family,person,20,"21 August, 2022",D20:17,John is organizing a gaming night with his siblings next month,supported,0,Turn [D20:17] clearly states John is organizing a gaming night with his siblings next month.,,
conv-43,tim#5,Tim,person,8,"21 August, 2023",D8:22,Tim's family enjoys prepping the Thanksgiving feast and talking about what they're thankful for.,supported,0,Turn D8:22 clearly states Tim's family enjoys prepping the Thanksgiving feast and talking about what they're thankful for.,,
conv-50,calvin#41,Calvin,person,30,"17 November, 2023",D30:4,Calvin had an interesting chat with an artist at the gala about music and art.,supported,0,Turn D30:4 clearly states Calvin had an interesting chat with an artist at the gala about music and art.,,
conv-43,john#15,John,person,13,"13 October, 2023",D13:11,Tim encouraged John to keep believing in himself,supported,0,Turn [D13:11] explicitly has Tim telling John to 'Keep believing in yourself.',,
conv-42,movies#22,Movies,topic,9,"21 April, 2022",D9:9,Joanna enjoys dramas and emotionally-driven films.,supported,0,Turn D9:9 explicitly states Joanna enjoys dramas and emotionally-driven films.,,
conv-44,gardening#4,Gardening,topic,21,"4 October, 2023",D21:8,Audrey suggested that Andrew could appreciate nature in the city by getting plants or visiting parks.,supported,0,Turn D21:8 clearly shows Audrey suggesting plants and park visits to appreciate nature in the city.,,
conv-42,video-games#9,Video games,topic,27,"7 November, 2022",D27:23,Nate is currently playing a fantasy RPG called 'Xeonoblade Chronicles'.,supported,0,Turn D27:23 clearly states Nate is currently playing the fantasy RPG 'Xeonoblade Chronicles'.,,
conv-41,maria#42,Maria,person,32,"16 August, 2023",D32:14,Maria felt good seeing smiles on people's faces when they received food or a bed at the shelter.,supported,0,Turn [D32:14] clearly states Maria felt good seeing smiles on people's faces when they received food or a bed at the shelter.,,
conv-44,andrew#16,Andrew,person,14,"4 August, 2023",D14:19,"Andrew's dog, Toby, is a German Shepherd.",supported,0,"Turn [D14:19] explicitly states Toby is a German Shepherd, attributed to Andrew.",,
conv-30,jon#3,Jon,person,1,"20 January, 2023",D1:8,Jon's favorite dance style is contemporary.,supported,0,Turn D1:8 clearly states Jon's favorite dance style is contemporary.,,
conv-30,dance-studio#7,Dance studio,topic,2,"29 January, 2023",D2:8,"Marley flooring is grippy but still allows movement, and is tough and easy to keep clean",supported,0,"Turn D2:8 explicitly describes Marley flooring as grippy, allowing movement, tough, and easy to clean.",,
conv-49,jasper#1,Jasper,event,2,"24 May, 2023",D2:1,Evan took his family on a road trip to Jasper last weekend.,supported,0,Turn [D2:1] clearly states Evan took his family on a road trip to Jasper last weekend.,,
conv-43,universal-studios#1,Universal Studios,event,10,"31 August, 2023",D10:9,Tim is planning a trip to Universal Studios next month,supported,0,Turn D10:9 clearly states Tim is planning a trip to Universal Studios next month.,,
conv-47,programming#9,Programming,topic,8,"29 April, 2022",D8:4,"John is working on a website for a local small business, which is his first professional project outside of class.",supported,0,Turn [D8:4] clearly states John is working on a website for a local small business and that it is his first professional project outside of class.,,
conv-47,hobbies#6,Hobbies,topic,3,"27 March, 2022",D3:16,James is setting small goals and tracking his progress to stay motivated.,supported,0,Turn [D3:16] explicitly states James is setting small goals and tracking progress to stay motivated.,,
conv-43,universal-studios#2,Universal Studios,event,10,"31 August, 2023",D10:11,Tim has not been to Universal Studios before,supported,0,Turn D10:11 clearly states Tim has not been to Universal Studios before and is going for the first time.,,
conv-50,japan-trip#18,Japan trip,event,10,"7 July, 2023",D10:10,Calvin is looking forward to trying the food and checking out the culture in Japan.,supported,0,Turn D10:10 has Calvin explicitly saying he can't wait to try the food and check out the culture in Japan.,,
conv-41,kindness#5,Kindness,topic,24,"17 July, 2023",D24:15,John believes that spreading positivity and making a difference is important.,supported,0,Turn [D24:15] explicitly states John's belief in spreading positivity and making a difference.,,
conv-50,music#3,Music,topic,11,"21 July, 2023",D11:10,Calvin feels great about how far he has come in making music.,supported,0,Turn D11:10 explicitly states Calvin feels great about how far he has come in making music.,,
conv-48,appreciation#1,Appreciation,topic,20,"21 August, 2023",D20:8,"Deborah learned to appreciate flowers by taking it slow, seeing beauty in them, and finding joy.",supported,0,"Turn D20:8 directly states Deborah learned to appreciate flowers by taking it slow, seeing beauty, and finding joy.",,
conv-49,health-advice#8,Health advice,topic,4,"27 July, 2023",D4:12,Evan encourages Sam to focus on healthy swaps and taking small steps.,supported,0,Turn D4:12 explicitly has Evan encouraging Sam to focus on healthy swaps and taking small steps.,,
conv-41,john#33,John,person,12,"18 April, 2023",D12:7,John has received good feedback on his blog posts so far.,supported,0,Turn D12:7 explicitly states John has received good feedback on his blog posts so far.,,
conv-44,dog-friendly-housing#18,Dog-friendly housing,topic,8,"13 June, 2023",D8:22,Audrey shared a photo of her dogs playing with a frisbee in a field.,supported,0,Turn [D8:22] clearly shows Audrey sharing a photo of her dogs playing with a frisbee in a field.,,
conv-47,gaming#17,Gaming,topic,4,"4 April, 2022",D4:8,James met the whole team at the online gaming tournament and received gaming tips from one of them.,supported,0,Turn D4:8 explicitly states James met the whole team and received gaming tips from one of them.,,
conv-49,jasper#4,Jasper,event,2,"24 May, 2023",D2:3,"Evan experienced fresh air, peacefulness, and a cozy cabin surrounded by mountains and forests during the road trip.",supported,0,"Turn [D2:3] explicitly states Evan experienced fresh air, peacefulness, and a cozy cabin surrounded by mountains and forests during the road trip.",,
conv-49,jasper#2,Jasper,event,2,"24 May, 2023",D2:1,Evan drove through the Icefields Parkway during the road trip.,supported,0,Turn [D2:1] explicitly states Evan drove through the Icefields Parkway during the road trip.,,
conv-50,car-event#6,Car event,event,5,"3 May, 2023",D5:3,Dave is currently working on a challenging car project.,supported,0,Turn D5:3 clearly states Dave is working on a challenging car project.,,
conv-26,painting#12,Painting,topic,12,"17 August, 2023",D12:8,"Melanie feels a strong connection to art, which is a huge learning experience for her.",supported,0,Turn D12:8 explicitly states Melanie feels a strong connection to art and that it has been a huge learning experience for her.,,
conv-30,gina#4,Gina,person,2,"29 January, 2023",D2:1,Gina's clothing store has a variety of clothes on display,supported,0,"Turn [D2:1] includes Gina sharing an image of a clothing store with a variety of clothes on display, supporting the entry.",,
conv-43,basketball#36,Basketball,topic,14,"17 October, 2023",D14:5,John finds it rewarding to watch younger players develop and reach their goals.,supported,0,Turn D14:5 clearly states John finds it rewarding to watch younger players develop and reach their goals.,,
conv-49,evan#5,Evan,person,3,"6 June, 2023",D3:1,Evan had a health scare last week involving a sudden heart palpitation incident.,supported,0,Turn [D3:1] explicitly states Evan had a health scare last week involving a sudden heart palpitation incident.,,
conv-42,cooking#2,Cooking,topic,10,"2 May, 2022",D10:11,Joanna made a dairy-free vanilla cake with strawberry filling and coconut cream frosting,partially,0,"The cited turn mentions the cake's ingredients but does not explicitly state Joanna made it; that is stated in turn D10:9, which is not cited.",,
conv-49,evan#60,Evan,person,21,"26 December, 2023",D21:8,Evan feels that love brings happiness and fulfillment,supported,0,Turn D21:8 clearly states Evan feels love brings happiness and fulfillment.,,
conv-47,james#12,James,person,18,"6 August, 2022",D18:16,James's puppy had a routine examination at the clinic.,supported,0,Turn [D18:16] explicitly states James's puppy had a routine examination at the clinic.,,
conv-42,joanna#3,Joanna,person,2,"23 January, 2022",D2:23,Joanna is allergic to most reptiles and animals with fur.,supported,0,Turn D2:23 explicitly states Joanna is allergic to most reptiles and animals with fur.,,
conv-48,deborah#18,Deborah,person,6,"22 February, 2023",D6:4,Deborah lost a friend last week and has been spending time in the garden for comfort.,supported,0,Turn D6:4 explicitly states Deborah lost a friend last week and has been spending time in the garden for comfort.,,
conv-26,adoption-research#9,Adoption research,topic,17,"13 October, 2023",D17:1,Caroline contacted her mentor for adoption advice.,supported,0,Turn [D17:1] clearly states Caroline contacted her mentor for adoption advice.,,
conv-26,lgbtq-support-group#13,LGBTQ support group,event,9,"17 July, 2023",D9:2,Caroline joined a mentorship program for LGBTQ youth last weekend.,supported,0,Turn [D9:2] clearly states Caroline joined a mentorship program for LGBTQ youth last weekend.,,
conv-30,clothing-store#37,Clothing store,topic,18,"21 July, 2023",D18:5,Gina advises reaching out to people in your field for help and contacts.,supported,0,Turn [D18:5] clearly states Gina's advice to reach out to people in your field for help and contacts.,,
conv-41,childhood-memories#2,Childhood memories,topic,18,"12 June, 2023",D18:3,Maria's family went on a road trip to Oregon when she was younger.,supported,0,Turn D18:3 clearly states Maria's family went on a road trip to Oregon when she was younger.,,
conv-48,jolene#8,Jolene,person,2,"27 January, 2023",D2:28,Jolene learned to play video games on her own as a child.,supported,0,Turn [D2:28] directly states Jolene learned to play video games on her own as a child.,,
